id	materials0_id	materials0_qty	materials1_id	materials1_qty	unlock_level	is_final_product	product	pos	power	utensil	exp
600293	500507	1	20124	2	20	0	600293	82	1	0	1
600294	600189	1	600293	1	20	0	600294	83	1	0	1
600295	20145	3	600294	1	20	1	600295	84	1	0	1
600290	600033	1	600009	1	15	0	600290	85	1	0	1
600291	64	1	600221	2	17	0	600291	86	1	0	1
600292	600290	1	600291	1	17	1	600292	87	1	0	1
600284	20115	2	21	1	12	0	600284	88	1	0	1
600285	600284	1	6004	2	16	0	600285	89	1	0	1
600286	600285	1	500148	2	16	1	600286	90	1	0	1
600287	30095	1	500484	1	20	0	600287	91	1	0	1
600288	600171	2	9120	2	20	0	600288	92	1	0	1
600289	600287	1	600288	1	20	1	600289	93	1	0	1
600281	9116	2	600049	1	26	0	600281	94	1	0	1
600282	500368	2	500051	1	21	0	600282	95	1	0	1
600283	600281	1	600282	1	26	1	600283	96	1	0	1
600278	9124	2	500466	1	21	0	600278	97	1	0	1
600279	126	1	600218	1	13	0	600279	98	1	0	1
600280	600278	1	600279	1	21	1	600280	99	1	0	1
600272	700059	1	600040	1	22	0	600272	100	1	0	1
600273	600096	1	700058	2	22	0	600273	101	1	0	1
600274	600272	1	600273	1	22	1	600274	102	1	0	1
600275	500448	1	500184	1	22	0	600275	103	1	0	1
600276	200570	2	600167	1	22	0	600276	104	1	0	1
600277	600275	1	600276	1	22	1	600277	105	1	0	1
600269	600141	1	600002	1	17	0	600269	106	1	0	1
600270	500439	1	200467	2	16	0	600270	107	1	0	1
600271	600269	1	600270	1	17	1	600271	108	1	0	1
600263	500429	1	58	1	12	0	600263	109	1	0	1
600264	600068	1	500429	1	17	0	600264	110	1	0	1
600265	600264	1	600036	1	17	1	600265	111	1	0	1
600266	17	2	200534	1	11	0	600266	112	1	0	1
600267	600167	1	30073	3	22	0	600267	113	1	0	1
600268	600266	1	600267	1	22	1	600268	114	1	0	1
600260	20115	2	500419	1	13	0	600260	115	1	0	1
600261	30223	1	600228	1	20	0	600261	116	1	0	1
600262	600260	1	600261	1	20	1	600262	117	1	0	1
600254	18	2	46	2	12	0	600254	118	1	0	1
600255	600230	1	200534	1	20	0	600255	119	1	0	1
600256	600254	1	600255	1	20	1	600256	120	1	0	1
600257	30095	2	65014	1	20	0	600257	121	1	0	1
600258	600257	1	600254	1	20	1	600258	122	1	0	1
600259	100259	1	600254	1	15	1	600259	123	1	0	1
600251	6004	4	500397	1	22	0	600251	124	1	0	1
600252	600216	1	600251	1	22	1	600252	125	1	0	1
600253	600230	1	500397	1	22	1	600253	126	1	0	1
600245	700024	1	500391	1	21	0	600245	127	1	0	1
600246	600055	1	30224	2	21	0	600246	128	1	0	1
600247	600245	1	600246	1	21	1	600247	129	1	0	1
600248	600040	1	500391	1	21	0	600248	130	1	0	1
600249	20145	2	19	2	21	0	600249	131	1	0	1
600250	600248	1	600249	1	21	1	600250	132	1	0	1
600239	49	2	200534	1	12	0	600239	133	1	0	1
600240	500112	1	500375	1	12	0	600240	134	1	0	1
600241	600239	1	600240	1	12	1	600241	135	1	0	1
600242	500097	1	600040	1	18	0	600242	136	1	0	1
600243	600036	1	500148	3	10	0	600243	137	1	0	1
600244	600242	1	600243	1	20	1	600244	138	1	0	1
600233	500368	1	17	1	20	0	600233	139	1	0	1
600234	500368	2	9120	2	20	0	600234	140	1	0	1
600235	600234	1	600040	1	20	1	600235	141	1	0	1
600236	500362	1	600040	1	20	0	600236	142	1	0	1
600237	500362	1	600158	2	20	0	600237	143	1	0	1
600238	600237	1	600235	1	20	1	600238	144	1	0	1
600230	500355	1	600210	1	20	0	600230	145	1	0	1
600231	600186	1	600230	1	20	1	600231	146	1	0	1
600232	600183	2	600230	1	20	1	600232	147	1	0	1
600224	600068	1	600206	1	20	0	600224	148	1	0	1
600225	500344	1	20154	1	20	0	600225	149	1	0	1
600226	600224	1	600225	1	20	1	600226	150	1	0	1
600227	200444	2	21	2	20	0	600227	151	1	0	1
600228	30095	1	500326	3	20	0	600228	152	1	0	1
600229	600227	1	600228	1	20	1	600229	153	1	0	1
600221	600068	1	18	1	15	0	600221	154	1	0	1
600222	600221	1	200954	2	15	1	600222	155	1	0	1
600223	600221	2	500332	1	18	1	600223	156	1	0	1
600215	9124	2	500317	1	22	0	600215	157	1	0	1
600216	700016	1	20154	1	22	0	600216	158	1	0	1
600217	600215	1	600216	1	22	1	600217	159	1	0	1
600218	500317	1	30131	3	22	0	600218	160	1	0	1
600219	20115	2	65006	2	22	0	600219	161	1	0	1
600220	600218	1	600219	1	22	1	600220	162	1	0	1
